53.5665815,9.9653248,Weidenallee 12,Alice de Haas,""
53.5787889,9.9720969,Wrangelstraße 10,Alma Grellert   geb. Schlesinger,""
53.5671195,9.9807608,Grindelallee 73,Alma Lisser geb. Königsfeld,""
53.571118,9.818797,Hasenhöhe 95,Alma del Banco,""
53.5872989,10.0308688,Georg-Thielen-Gasse 9,Alphons Abel,""
53.566411,9.961894,Vereinsstraße 61,Alphons Friedberg,""
53.5671275,9.9678524,Schäferstraße 4,Alwin Esser,""
53.5552195,10.0124767,Rostocker Straße 1,Alwin Lilienthal,""
53.5474590,9.9318400,Klopstockplatz 9,Alwin Peters,""
53.5588540,10.0135978,Lange Reihe 102,Alwine Grahmann,""
53.5776907,9.9782030,Oberstraße 3,Amalia Rosa Baumwollspinner   geb. Nussbaum,""
53.5710965,9.9797443,Rutschbahn 8,Amalie Gerechter geb. Borek,""
53.5701363,9.9812050,Rappstraße 6,Amalie Hagenow geb. Braun,""
53.5653729,9.9892303,Rothenbaumchaussee 34,Amalie Hirschbaum geb. Simon,""
53.5556910,10.0151824,Danziger Straße 14,Amalie Leser   geb. Janower,""
53.5859003,9.9831166,Eppendorfer Landstraße 14,Amalie Leser   geb. Janower,""
53.5715970,9.9810248,Heinrich-Barth-Straße 21,Amalie Levy geb. Jastrow,""
53.5663286,9.9869436,Johnsallee 68,Amalie Noafeldt,""
53.6328882,10.0447555,Wellingsbütteler Landstraße 165,Amalie Röhmann geb. Segall,""
53.5827496,9.9836833,Isestraße 67,Amalie Salomon   geb. Schönbach,""
53.5752563,9.9482668,Sillemstraße 10,Amanda Baumgarten   geb. Kraese,""
53.5630692,10.0458373,Ritterstraße,Amanda Tietz geb. Cornils,""
53.5346422,10.0389647,Billhorner Röhrendamm Ecke Lindleystraße,Amandus Hartung,""
53.561633,9.59227,Lippmannstraße 69,Amandus Karges,""
53.5510865,9.9464972,Jessenstraße 1,Andre Leger,""
53.5347006,10.0456914,Marckmannstraße 135,Andreas Ahlemann,""
53.5743703,10.0492723,Friedrichsberger Straße 35,Andreas London,""
53.5346978,10.0457008,Marckmannstraße 135,Angela Lucassen,""
53.5671281,9.9750351,Laufgraben 37,Anita Abraham,""
53.5805653,9.9812045,Isestraße 36,Anita Coutinho,""
53.553558,10.018669,Lindenstraße 9,Anita Dombrowski   geb. Damman,""
53.6371322,10.0302185,Kurzer Kamp 6,Anita Horneburg,""
53.5835046,10.0056567,Sierichstraße 66,Anita Ledermann,""
53.5647080,9.9967033,Fontenay 11,Anita Rée,""
53.5647141,9.9967035,Badestraße 2,Anita Rée,""
53.5682790,10.0428601,Eilbeker Weg 29,Anita Sakheim   geb. Plotkin,""
53.4577246,9.9853154,Rieckhoffstraße 8,Anna Apteker   geb. Rotter,""
,,Friedensallee 128,Anna Arapova,""
53.5706095,9.9803700,Heinrich-Barth-Straße 11,Anna Arendar geb. Wallach,""
53.5651895,9.9814596,Grindelweg 4a,Anna Blumenthal geb. Metz,""
53.554666,9.981899,Bäckerbreitergang,Anna Bollhagen,""
53.5841867,10.0595572,Hohensteiner Straße 3,Anna Brandt geb. Lindemann,""
53.5858138,9.9760617,Husumer Straße 6,Anna Brill   geb. Pollitzer,""
